,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
86,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75
87,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5.0
88,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5
89,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39.58
90,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.5
91,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1
92,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5
93,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.79
94,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3.45
95,Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,4.45
96,Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2.65
97,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8
98,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,4.65
99,Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,3.95
100,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9.8
101,Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7
102,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41
103,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,3.9
104,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,24.0
105,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75
106,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.25
107,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.25
108,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3.91
109,Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,2.15
110,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75
111,Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.35
112,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.11
113,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20.0
114,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6.55
115,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7.0
116,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5
117,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16.75
118,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95
119,Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45
120,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.23
121,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7.75
122,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,9.35
124,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5.25
125,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25
126,Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.47
127,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25
128,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5.81
129,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.6
130,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11.5
131,Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.6
132,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,17.22
133,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.0
134,Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.95
135,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,17.95
136,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.7
137,Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.43
138,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.49
139,Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2.85
140,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4.75
141,Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.9
142,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,37.0
143,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26.5
144,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23.32
145,Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.25
146,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,30.0
147,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,9.86
148,Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,8.5
149,Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.23
150,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5
151,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2.5
152,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2.39
153,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.25
154,Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.11
155,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.9
156,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6.2
157,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.9
158,Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4.42
159,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.5
160,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,6.25
161,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2.1
162,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,45.0
163,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,33.66
164,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,3.65
165,Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75
166,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,42.5
167,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.5
168,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,19.0
169,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,4.45
170,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,23.0
171,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8.35
172,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,22.95
173,Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,1.5
174,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,6.89
175,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,1.45
176,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,33.5
177,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,1.25
178,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.2
179,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,6.75
180,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,32.0
181,Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7.5
182,Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.6
183,Kochi,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4.04
184,Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,10.31
185,Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6
186,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,8.5
187,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5
188,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.55
189,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.25
190,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,4.5
191,Delhi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.35
192,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,6.5
193,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.0
194,Kochi,2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.0
195,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,2.75
196,Pune,2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,1.5
197,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,19.9
198,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,10.0
199,Delhi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,3.0
200,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.96
201,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3.25
202,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,4.75
203,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.95
204,Delhi,2015,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,8.15
205,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,4.22
206,Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,10.5
207,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,45.0
208,Pune,2012,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.9
209,Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,8.9
210,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,26.0
211,Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,8.22
212,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,3.5
213,Chennai,2004,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1.25
214,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,3.7
215,Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.41
216,Kolkata,2013,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,2.65
217,Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,8.92
218,Delhi,2013,47000,Diesel,Manual,First,17.8,1248.0,74.0,5.0,4.1
219,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,35.67
220,Bangalore,2015,70436,Diesel,Manual,First,25.5,1498.0,99.0,5.0,3.6
221,Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,0.85
222,Kochi,2016,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,3.32
223,Mumbai,2012,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.6
224,Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.8
225,Kolkata,2012,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,2.5
226,Kochi,2019,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.64
227,Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,7.0
228,Kolkata,2011,32572,Petrol,Manual,First,17.4,1497.0,117.3,5.0,3.87
229,Kochi,2018,14960,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.27
230,Kochi,2015,55980,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,18.12
231,Mumbai,2013,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.65
232,Kochi,2015,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.2
233,Coimbatore,2015,121374,Diesel,Manual,First,12.99,2494.0,100.6,7.0,14.3
234,Chennai,2013,52000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.9
235,Mumbai,2014,118000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,10.75
236,Kochi,2016,33915,Petrol,Manual,First,17.8,1497.0,117.3,5.0,8.09
237,Ahmedabad,2014,82002,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,18.5
238,Mumbai,2017,33000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.75
239,Chennai,2016,34000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.45
240,Kolkata,2012,55000,Diesel,Manual,First,20.5,1598.0,103.6,5.0,3.5
241,Kochi,2006,160538,Diesel,Manual,First,13.1,1493.0,82.0,5.0,1.8
242,Jaipur,2014,60000,Diesel,Manual,Second,19.91,1498.0,103.6,5.0,3.7
243,Coimbatore,2017,49575,Petrol,Manual,First,18.7,1199.0,88.7,5.0,7.17
244,Jaipur,2010,83000,Petrol,Manual,First,19.81,1086.0,68.05,5.0,1.75
245,Kochi,2018,51346,Diesel,Automatic,First,16.38,1995.0,183.0,5.0,21.99
246,Pune,2017,43000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.65
247,Jaipur,2011,35000,Petrol,Manual,Third & Above,19.7,796.0,35.0,5.0,1.85
248,Coimbatore,2017,27872,Petrol,Manual,Second,20.4,1197.0,81.8,5.0,5.95
249,Mumbai,2014,16514,Petrol,Manual,First,18.9,1197.0,82.0,5.0,3.75
250,Pune,2012,120000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75
251,Hyderabad,2008,143275,Diesel,Manual,First,22.0,1582.0,126.2,5.0,2.6
252,Mumbai,2010,52000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,2.8
253,Bangalore,2014,57000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,18.0
254,Hyderabad,2014,88500,Diesel,Manual,First,23.2,1248.0,73.94,5.0,4.35
255,Bangalore,2016,28000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,13.75
256,Pune,2010,67000,Petrol,Manual,First,19.0,998.0,66.1,5.0,2.0
257,Delhi,2016,26000,Diesel,Manual,First,19.64,1461.0,108.45,5.0,10.0
258,Delhi,2010,120000,Diesel,Manual,First,17.8,1248.0,76.0,5.0,1.65
259,Coimbatore,2017,51982,Diesel,Automatic,First,16.55,2993.0,258.0,5.0,45.77
260,Bangalore,2010,36000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,3.25
261,Pune,2016,47000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,12.8
262,Mumbai,2002,60000,Petrol,Manual,Third & Above,17.3,993.0,60.0,5.0,0.55
263,Hyderabad,2018,31025,Diesel,Manual,First,28.4,1248.0,74.0,5.0,7.15
264,Pune,2013,105000,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,7.0
265,Pune,2017,121900,Diesel,Manual,First,22.95,1248.0,74.0,5.0,3.75
266,Mumbai,2017,22695,Petrol,Manual,First,18.88,999.0,123.24,5.0,8.5
267,Jaipur,2012,73000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.35
268,Kochi,2016,32227,Petrol,Manual,First,22.74,796.0,47.3,5.0,3.26
269,Jaipur,2011,55000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,4.21
270,Mumbai,2009,48000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,2.95
271,Kochi,2012,54308,Petrol,Manual,First,17.1,1591.0,121.3,5.0,4.28
272,Jaipur,2009,78442,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,3.57
273,Kolkata,2013,46000,Diesel,Manual,First,21.9,1396.0,88.8,5.0,3.11
274,Coimbatore,2014,45051,Petrol,Automatic,First,15.0,1396.0,98.6,5.0,5.96
275,Hyderabad,2011,69000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,4.7
276,Ahmedabad,2014,49000,Petrol,Manual,First,17.4,1497.0,117.3,5.0,6.9
277,Pune,2018,45000,Diesel,Manual,First,22.95,1248.0,74.0,5.0,5.25
278,Pune,2015,64000,Diesel,Automatic,First,18.48,1995.0,177.0,5.0,28.0
279,Delhi,2009,60000,Petrol,Manual,First,18.9,1061.0,67.0,5.0,1.35
280,Delhi,2015,62178,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4.85
281,Coimbatore,2012,58006,Diesel,Manual,First,15.0,1896.0,105.0,5.0,6.7
282,Hyderabad,2010,74000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.1
283,Kochi,2015,77771,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,18.64
284,Pune,2012,45275,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.8
285,Chennai,2016,48000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,20.25
286,Kochi,2015,31652,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,26.78
287,Hyderabad,2010,109000,Diesel,Manual,Second,12.99,2494.0,100.6,7.0,8.26
288,Mumbai,2015,31978,Petrol,Manual,First,16.47,1198.0,73.9,5.0,3.89
289,Hyderabad,2011,70000,Petrol,Manual,First,20.92,998.0,67.1,5.0,2.1
290,Mumbai,2017,15000,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,12.69
291,Coimbatore,2013,59138,Diesel,Manual,First,17.0,1405.0,70.0,5.0,2.58
292,Kochi,2014,61726,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,20.77
293,Delhi,2015,48000,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,20.26
294,Kolkata,2011,60020,Diesel,Manual,First,17.8,1248.0,74.0,5.0,2.5
295,Hyderabad,2014,77815,Petrol,Automatic,First,23.1,998.0,67.04,5.0,4.25
296,Delhi,2017,44000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,44.0
297,Hyderabad,2011,108626,Diesel,Manual,First,20.54,1598.0,103.6,5.0,3.65
298,Hyderabad,2012,71791,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.05
299,Kochi,2012,91931,Petrol,Manual,First,18.5,1198.0,86.8,5.0,3.13
300,Hyderabad,2000,158000,Diesel,Manual,Second,14.07,2956.0,83.1,7.0,1.5
301,Pune,2012,91183,Diesel,Manual,First,18.0,1248.0,75.0,5.0,2.85
302,Delhi,2012,65000,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.65
